?	price	sector	street	type	room	suite	park	m2
1085	550.000	1	41	0	3	3	2	111
1088	1.250.000	44	36	2	4	4	2	228
1091	500.000	1	36	0	3	3	2	100
1093	419.882	13	350	0	3	3	2	94
1094	821.000	1	87	0	3	3	3	153
1096	973.500	5	214	0	3	3	3	177
1097	1.350.000	16	351	0	5	1	2	450
1098	330.000	113	352	1	3	1	2	130
1099	320.000	114	353	1	3	1	5	360
1100	430.000	115	354	1	3	1	1	500
1102	350.000	6	355	0	3	3	1	89
1107	1.100.000	1	92	0	3	3	3	156
1110	190.000	116	356	1	3	1	1	70
1111	310.000	1	98	0	2	1	1	71
1112	1.800.000	45	357	2	5	5	4	393
1113	330.000	9	13	0	3	1	2	73
1114	419.000	66	358	1	6	1	4	180
1115	220.000	2	20	0	2	1	1	56
1116	430.000	23	140	0	2	2	2	72
1117	205.000	117	359	1	3	1	1	101
1118	1.200.000	0	313	0	3	3	3	169
1119	309.000	13	40	0	3	1	2	87
1120	331.000	0	51	0	2	1	1	56
1121	500.000	0	36	0	3	1	2	100
1123	590.000	31	360	2	3	3	2	144
1124	155.000	87	361	0	2	1	1	54
1125	550.000	8	362	1	3	1	2	177
1127	780.000	5	36	0	3	3	2	126
1128	199.000	41	84	0	2	1	2	60
1129	180.000	118	363	1	2	1	2	70
1130	560.000	23	364	0	3	3	2	99
1131	435.000	23	365	0	4	2	2	185
1134	250.000	14	21	0	3	2	2	71
1135	229.000	13	366	0	2	1	1	62
1136	1.680.000	1	36	0	4	4	3	339
1137	600.000	1	367	0	3	1	2	172
1138	2.000.000	119	36	2	4	4	4	490
1139	230.000	35	25	0	3	1	2	75
1140	320.000	25	68	0	2	1	1	67
1142	260.000	79	368	0	3	1	1	81
1143	1.376.757	80	216	0	4	4	3	266
1144	320.000	25	369	0	2	2	1	64
1147	220.000	120	370	0	2	1	1	60
1149	771.000	1	32	0	3	3	3	153
1152	850.000	1	41	0	4	3	3	140
1153	390.000	0	235	0	3	1	2	108
1154	1.200.000	44	371	2	4	4	4	260
1160	489.760	0	32	0	3	1	2	88
1161	1.510.000	5	214	0	4	4	3	233
1163	650.000	0	36	0	4	2	2	126
1164	350.000	23	345	0	3	1	1	108
1167	653.000	23	115	0	3	3	2	124
1171	280.000	13	372	0	3	1	2	73
1172	560.000	6	373	1	3	1	2	145
1173	360.000	14	348	0	3	3	2	93
1175	201.000	2	20	0	2	1	1	60
1177	380.000	71	374	1	4	2	4	200
1178	230.000	121	375	1	3	2	2	135
1179	690.000	5	36	0	4	1	3	250
1181	400.000	92	376	0	3	3	2	98
1183	187.500	103	297	0	2	1	1	61
1184	300.000	2	377	1	3	1	1	90
1185	580.000	1	378	5	2	2	2	74
1188	1.390.000	0	173	0	4	4	4	242
1190	1.300.000	122	379	2	3	3	2	350
1193	490.000	2	44	0	3	3	2	116
1195	335.000	27	74	1	3	1	2	280
1196	2.300.000	1	75	0	4	4	4	349
1197	370.000	14	21	0	3	3	2	99
1199	355.000	123	380	1	3	1	3	160
1200	1.850.000	0	22	0	4	4	4	326
1201	300.000	1	367	0	3	1	2	86
1202	950.000	0	0	0	3	3	3	145
1204	1.510.000	5	214	0	4	4	3	233
1205	250.000	124	381	1	2	1	4	150
1207	189.000	89	253	0	3	1	2	65
1210	650.000	5	214	0	3	3	2	111
